,LBRT,LBRT,LBRT,LBRT,LBRT,LBRT,LBRT,ROIV,ROIV,ROIV,ROIV,ROIV,ROIV,ROIV,FHI,FHI,FHI,FHI,FHI,FHI,FHI,DINO,DINO,DINO,DINO,DINO,DINO,DINO
Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-22 00:00:00-04:00,12.51746178,13.01624138,12.37358236,12.89154625,984100,0,0,0,0,0,0,0,0,0,26.03314295,26.06446173,25.58686074,25.91569901,648300,0,0,41.9958509,42.30629303,41.18525128,41.56468201,1207800,0,0
2019-07-23 00:00:00-04:00,12.92032364,13.40951113,12.90113935,13.36155224,573900,0,0,0,0,0,0,0,0,0,26.0488008,26.18190115,25.94701626,26.10360718,537000,0,0,41.56468188,41.98722555,41.38359173,41.70265579,1533700,0,0
2019-07-24 00:00:00-04:00,13.3519594,13.71645265,13.16971232,13.42869473,733200,0,0,0,0,0,0,0,0,0,25.98616256,26.54206047,25.86089042,26.53422928,600800,0,0,41.59918116,42.93580423,41.31460808,42.69434738,1318600,0,0
2019-07-25 00:00:00-04:00,13.42869573,13.42869573,12.94909945,12.9586916,611400,0,0,0,0,0,0,0,0,0,26.56554727,26.8943855,26.40112816,26.81609154,757500,0,0,42.79782824,42.79782824,41.93549039,42.53050232,1491700,0,0
2019-07-26 00:00:00-04:00,12.99705975,13.32318538,12.85318031,13.18889809,1268200,0,0,0,0,0,0,0,0,0,27.06663536,28.0844718,27.01182899,27.84175873,1842700,0,0,42.51325669,43.03066139,42.51325669,42.7719574,1276900,0,0
2019-07-29 00:00:00-04:00,13.38073504,13.38073504,12.18174443,12.47909451,944400,0,0,0,0,0,0,0,0,0,27.90439353,28.17059718,27.45028317,27.59904289,938200,0,0,42.62536296,42.78920598,42.04759486,42.75471497,1177500,0,0
2019-07-30 00:00:00-04:00,12.45991055,13.48624716,12.39276736,13.3807354,1063600,0,0,0,0,0,0,0,0,0,27.42678883,27.66167666,27.28585732,27.40330124,788200,0,0,42.57361195,43.23761238,42.03034156,43.19449615,1376200,0,0
2019-07-31 00:00:00-04:00,13.42869704,13.90829336,13.02583605,13.57257557,1793800,0,0,0,0,0,0,0,0,0,27.39547499,27.7086538,27.18407772,27.20756531,948200,0,0,43.17725308,44.24655339,42.4873835,42.9185524,2237900,0,0
2019-08-01 00:00:00-04:00,13.59175831,13.69151442,12.01868222,12.97787476,846300,0,0,0,0,0,0,0,0,0,27.05880251,27.21539041,26.16623537,26.54988289,864000,0,0,43.96198128,46.47138418,43.65153914,45.00540924,3440400,0,0
2019-08-02 00:00:00-04:00,12.96828373,13.1025701,12.44072764,12.68052578,961800,0,0,0,0,0,0,0,0,0,26.42461624,26.72213869,26.35415048,26.61252594,487200,0,0,44.90193558,45.8591312,44.00510334,44.09133911,2561100,0,0
2019-08-05 00:00:00-04:00,12.57501433,12.57501433,11.61582176,11.90357971,969900,0,0,0,0,0,0,0,0,0,26.22104748,26.22887568,25.48507114,25.68080902,581600,0,0,43.26348654,43.67741159,41.29735738,42.08208466,2751500,0,0
2019-08-06 00:00:00-04:00,11.93235398,12.13378444,11.19377625,11.46234989,868100,0,0,0,0,0,0,0,0,0,25.72778949,26.27585619,25.72778949,26.22887802,664300,0,0,42.72882853,43.10825919,41.86649091,42.59085464,2084300,0,0
2019-08-07 00:00:00-04:00,11.10744939,11.34724752,10.81969144,11.30887985,1004500,0,0,0,0,0,0,0,0,0,25.81842804,26.29201766,25.42377153,25.81842804,773100,0.27,0,42.09933666,43.46183214,41.68541486,43.41871262,2576900,0,0
2019-08-08 00:00:00-04:00,11.47194259,11.62541325,11.09785718,11.59663773,644700,0,0,0,0,0,0,0,0,0,26.04733195,26.34727177,25.9368286,26.25255203,605500,0,0,43.37559006,44.20343354,43.22899421,44.01372147,1973700,0,0
2019-08-09 00:00:00-04:00,11.62541316,11.71174064,11.2609199,11.51031017,592500,0,0,0,0,0,0,0,0,0,26.14994321,26.17362164,25.50270673,25.6368885,590200,0,0,44.18618749,44.18618749,41.75439202,41.87512207,2037200,0,0
2019-08-12 00:00:00-04:00,11.38561488,11.50071787,10.95397843,11.33765507,566900,0,0,0,0,0,0,0,0,0,25.40798529,25.67635184,25.28959014,25.45534515,451400,0,0,41.50432355,41.88375104,40.03834848,40.25393295,2695900,0,0
2019-08-13 00:00:00-04:00,11.3472476,11.86521153,11.16500142,11.39520741,396900,0,0,0,0,0,0,0,0,0,25.37641507,25.96839985,25.3211634,25.87368011,496200,0,0,40.06422105,41.33185891,39.73653499,40.52988434,2005200,0,0
2019-08-14 00:00:00-04:00,10.9731603,11.00193673,10.5127484,10.82928181,727600,0,0,0,0,0,0,0,0,0,25.33695221,25.64478688,25.28170053,25.33695221,705000,0,0,39.63304638,39.63304638,38.07221699,38.18431854,2520300,0,0
2019-08-15 00:00:00-04:00,10.85805917,11.20816513,10.68540513,11.11704159,744500,0,0,0,0,0,0,0,0,0,25.53427868,25.76318021,25.28959354,25.40009689,485900,0,0,38.11533475,38.57237277,37.29611311,37.82213974,2617900,0,0
2019-08-16 00:00:00-04:00,11.17459266,11.51990255,11.07867395,11.2992878,775200,0,0,0,0,0,0,0,0,0,25.54217533,25.74739543,25.21066372,25.33695221,951700,0,0,38.19293653,38.57236392,37.29610455,38.24467468,2890100,0,0
2019-08-19 00:00:00-04:00,11.43357685,11.5956801,11.20337083,11.22255421,509800,0,0,0,0,0,0,0,0,0,25.58164037,25.64478687,25.33695219,25.43956375,455000,0,0,38.98629216,40.19356643,38.67585002,39.56406021,2076100,0,0
2019-08-20 00:00:00-04:00,11.07867342,11.23214407,10.73336354,10.79091549,857400,0,0,0,0,0,0,0,0,0,25.36852454,25.5421744,25.12383788,25.47113609,348100,0,0,39.27948316,40.01247221,39.18462549,39.4950676,2046600,0,0
2019-08-21 00:00:00-04:00,11.02112187,11.0978572,10.66622074,10.75254822,879100,0,0,0,0,0,0,0,0,0,25.70004101,25.78686294,25.31327618,25.35274124,352100,0,0,40.30286324,40.74584582,39.07814278,39.40820694,2058200,0.33,0
2019-08-22 00:00:00-04:00,10.72377161,10.84367066,10.28254306,10.29213428,523100,0,0,0,0,0,0,0,0,0,25.37641775,25.84211261,25.31327126,25.56585121,404800,0,0,39.52982008,40.11178138,39.34741563,39.62536621,1810100,0,0
2019-08-23 00:00:00-04:00,10.29213633,10.33050491,9.678253641,9.726213455,617900,0,0,0,0,0,0,0,0,0,25.52638883,25.6368922,25.06069393,25.13962555,434400,0,0,39.26055022,39.81645127,37.731819,37.8968544,2384200,0,0
2019-08-26 00:00:00-04:00,9.879683659,10.0523377,9.754988515,9.956418991,490000,0,0,0,0,0,0,0,0,0,25.39220434,25.40799097,24.91861762,25.07648087,325800,0,0,38.32245962,38.60909793,37.87078925,38.11399841,1352200,0,0
2019-08-27 00:00:00-04:00,10.04274516,10.05233639,9.678251918,9.707027435,880900,0,0,0,0,0,0,0,0,0,25.21855755,25.32906092,24.61078602,24.71339607,478600,0,0,38.45275779,38.75676516,37.26278181,37.47993088,3113200,0,0
2019-08-28 00:00:00-04:00,9.774170486,10.23458333,9.764579257,10.00437737,445900,0,0,0,0,0,0,0,0,0,24.61867861,24.9422969,24.54764031,24.82390022,398300,0,0,37.23671723,37.83605072,36.85453611,37.6449585,1444000,0,0
2019-08-29 00:00:00-04:00,10.12907224,10.38805372,10.12907224,10.3113184,603900,0,0,0,0,0,0,0,0,0,25.04490681,25.22644848,24.89493839,25.12383842,393100,0,0,37.78394346,38.81757198,37.78394346,38.66122437,1783100,0,0
2019-08-30 00:00:00-04:00,10.36887208,10.65662912,10.22978872,10.33050442,515500,0,0,0,0,0,0,0,0,0,25.23433956,25.51849427,25.10015627,25.28959274,281700,0,0,38.78282327,38.89573839,38.24429122,38.53092957,1354500,0,0
2019-09-03 00:00:00-04:00,10.0811116,10.4456048,10.00437629,10.397645,631700,0,0,0,0,0,0,0,0,0,25.1001583,25.26591334,24.80811327,25.04490662,324200,0,0,37.81868,39.42558167,37.73181839,39.23448944,2150700,0,0
2019-09-04 00:00:00-04:00,10.65662988,10.65662988,9.879684359,9.889276505,861300,0,0,0,0,0,0,0,0,0,25.29748474,25.46323977,25.14751633,25.42377472,328200,0,0,39.72959236,39.97279824,39.12157435,39.79039383,1407100,0,0
2019-09-05 00:00:00-04:00,10.06276946,10.30373617,9.889274049,9.937467575,710800,0.05,0,0,0,0,0,0,0,0,25.73160513,26.29991151,25.73160513,25.88157654,489900,0,0,40.38972577,41.43204193,40.3376088,41.36255264,3734400,0,0
2019-09-06 00:00:00-04:00,9.879636966,10.04349443,9.494090526,10.02421665,868400,0,0,0,0,0,0,0,0,0,25.77896788,25.77896788,25.16330307,25.22644806,557900,0,0,41.60576055,42.42223981,41.3191222,42.2485199,2449200,0,0
2019-09-09 00:00:00-04:00,10.01457697,10.35192982,9.850719535,10.09168625,1122800,0,0,0,0,0,0,0,0,0,25.37641889,25.55006573,25.08437236,25.19487572,762100,0,0,42.50041598,43.83805504,42.40486986,43.80331039,2393800,0,0
2019-09-10 00:00:00-04:00,10.11096423,11.02663766,10.07240959,10.81458759,958600,0,0,0,0,0,0,0,0,0,25.32905819,25.61321139,25.18698158,25.44745636,910800,0,0,43.78593835,44.67190695,43.53404463,44.43738556,2006000,0,0
2019-09-11 00:00:00-04:00,10.8145877,11.16157948,10.47723389,10.80494881,529000,0,0,0,0,0,0,0,0,0,25.58164239,26.29202552,25.31327577,26.26045227,687100,0,0,44.68058999,44.82825308,43.75119227,44.5242424,1895600,0,0
2019-09-12 00:00:00-04:00,10.38084848,10.72784028,10.27482252,10.49651241,804000,0,0,0,0,0,0,0,0,0,26.27623756,26.56039079,26.08680106,26.44988441,606700,0,0,43.97703063,44.5242439,43.28215427,44.02914429,1514500,0,0
2019-09-13 00:00:00-04:00,10.56398177,11.0169995,10.46759471,10.74711609,1314500,0,0,0,0,0,0,0,0,0,26.83664443,26.92346935,26.04733136,26.06311798,626400,0,0,44.45475528,45.12357477,44.11600328,44.62847519,1738100,0,0
2019-09-16 00:00:00-04:00,11.44110097,11.97122799,11.17121847,11.61459732,1340300,0,0,0,0,0,0,0,0,0,25.57374937,26.10258778,25.4000995,25.92893791,459600,0,0,44.55030149,47.03448724,44.23760631,46.71310425,3484900,0,0
