,NOV,NOV,NOV,NOV,NOV,NOV,NOV,PTGX,PTGX,PTGX,PTGX,PTGX,PTGX,PTGX,JHG,JHG,JHG,JHG,JHG,JHG,JHG,PBF,PBF,PBF,PBF,PBF,PBF,PBF
Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-22 00:00:00-04:00,20.29980127,20.71232116,20.0791517,20.38614273,4389000,0,0,13.07999992,13.07999992,12.69999981,12.93999958,165700,0,0,17.07641243,17.14438588,16.77808468,17.03864861,1840300,0,0,26.14744894,26.17547472,25.01710276,25.63365555,1502800,0,0
2019-07-23 00:00:00-04:00,20.46289033,21.00971834,20.26142816,20.95215797,5972500,0,0,12.94999981,12.94999981,12.02000046,12.31999969,157300,0,0,17.14439027,17.47292773,17.06886404,17.36341476,992600,0,0,25.67102158,25.93259013,25.25064565,25.70838928,1736800,0,0
2019-07-24 00:00:00-04:00,20.95215903,21.32630414,20.94256533,21.13443565,3567700,0,0,12.35000038,12.44999981,11.95199966,12.31999969,194300,0,0,17.2652292,17.5220175,17.24257091,17.39362335,1061100,0,0,25.66167972,26.59585083,25.39077103,26.4837513,1200200,0,0
2019-07-25 00:00:00-04:00,21.24955684,21.32630461,20.35736295,20.57801437,4916400,0,0,12.22999954,12.25,11.60000038,11.73999977,173000,0,0,17.44649064,17.51446409,17.21236065,17.32564926,564100,0,0,26.66124295,26.66124295,25.65233649,26.43704033,2088800,0,0
2019-07-26 00:00:00-04:00,20.57801547,20.92337951,20.491674,20.83703804,4612900,0,0,11.76000023,11.76000023,11.46000004,11.72999954,141100,0,0,17.31809479,17.47669854,17.25012134,17.34075165,705700,0,0,26.4557262,26.75466068,26.29691704,26.51177597,1127800,0,0
2019-07-29 00:00:00-04:00,20.77947594,20.77947594,19.79134692,19.83931541,5581400,0,0,11.65999985,11.68999958,11.14000034,11.19999981,101100,0,0,17.31054475,17.34453148,16.88004714,16.94046783,1202200,0,0,26.39967486,26.69860932,25.95127317,26.24086571,1001800,0,0
2019-07-30 00:00:00-04:00,20.10793053,22.24727767,18.89915382,22.08418846,15818300,0,0,11.10999966,11.23999977,10.94999981,11.10000038,90000,0,0,16.75165749,16.8724989,16.58549946,16.75165749,1574600,0,0,26.06337142,26.67992416,25.70838721,26.61453247,1294900,0,0
2019-07-31 00:00:00-04:00,22.96678996,23.8781694,22.54467636,22.8516674,10882500,0,0,11.14999962,11.19999981,11,11.02000046,85000,0,0,16.1247868,16.38157509,15.12029196,15.15805435,2979700,0,0,26.7266368,26.82939442,25.71773205,26.09140015,2337500,0,0
2019-08-01 00:00:00-04:00,22.52548604,22.52548604,21.18239948,21.52776527,6599600,0,0,11.02000046,11.13000011,10.42000008,10.56000042,195000,0,0,14.55384447,14.84084232,14.34992415,14.50097656,3104100,0,0,25.22262008,25.68970563,23.43835339,23.46637917,4468900,0,0
